Name,Kategorie,Eigenschaften/Domäne,Verwandtschaft,Ereignisse mit anderen Göttern,Gefühle/Beziehung zu anderen
Eileithyia,Olympier/Minor,Geburt,Tochter von Zeus und Hera,Verzögerte Herakles' Geburt,Gehorsam zu Hera
Geras,Personifikation,Alter,Sohn der Nyx,Herakles rang mit ihm,"Unausweichlich, bedrückend"
Momos,Personifikation,"Spott, Tadel",Sohn der Nyx,Vom Olymp verbannt,"Verachtet, nervig"
Oizys,Personifikation,"Kummer, Jammer",Tochter der Nyx,Begleitet Leid,"Düster, deprimierend"
Apate,Personifikation,Täuschung,Tochter der Nyx,Befand sich in Pandoras Büchse,Arglistig
Philotes,Personifikation,"Freundschaft, Zuneigung",Tochter der Nyx,Personifiziert sexuelle/freundschaftliche Liebe,"Positiv, verbindend"
Phthonos,Personifikation,Neid,Sohn von Dionysos,Stachelt Götter an,Gehässig
Zelos,Personifikation,Eifer,Sohn von Pallas und Styx,Begleitet Zeus,"Wetteifernd, loyal"
Bia,Personifikation,"Gewalt, Kraft",Tochter von Pallas und Styx,Half beim Anketten von Prometheus,"Grob, gehorsam"
Kratos,Personifikation,"Macht, Stärke",Sohn von Pallas und Styx,Befahl Anketten von Prometheus,"Herrschsüchtig, loyal"
Mete,Personifikation,Rausch,Begleiterin von Dionysos,Nimmt an Symposien teil,"Exzessiv, fröhlich"
Priapos,Fruchtbarkeitsgott,Zeugungskraft,Sohn von Dionysos und Aphrodite,Verflucht von Hera,"Lüstern, oft verspottet"
Hymenaios,Minor,Heirat,Sohn von Apollon,Schutzgott der Hochzeiten,"Festlich, liebend"
Plutos,Minor,Reichtum,Sohn von Demeter,Von Zeus geblendet,Unparteiisch
Despoina,Unterweltgöttin,Mysterien,Tochter von Poseidon und Demeter,Wahrer Name geheim,Mystisch
Melinoe,Unterweltgöttin,"Geister, Wahnsinn",Tochter von Persephone,Bringt Alpträume,Unheimlich
Makaria,Unterweltgöttin,Gesegneter Tod,Tochter von Hades,Empfängt gerechte Seelen,"Gnädig, sanft"
Astraios,Titan,Abenddämmerung,Sohn von Krios und Eurybia,Vater der Winde,Neutral
Pallas,Titan,Kriegskunst,Sohn von Krios und Eurybia,Von Athene getötet,Kriegerisch
Perses,Titan,Zerstörung,Sohn von Krios und Eurybia,Vater von Hekate,Zerstörerisch
Kalliope,Muse,Epische Dichtung,Tochter von Zeus und Mnemosyne,Richterin im Streit um Adonis,"Weise, eloquent"
Klio,Muse,Geschichtsschreibung,Tochter von Zeus und Mnemosyne,Führte das Alphabet in Griechenland ein,"Erinnernd, ordnend"
Erato,Muse,Liebesdichtung,Tochter von Zeus und Mnemosyne,Inspiriert Liebeslieder,"Leidenschaftlich, sanft"
Euterpe,Muse,"Musik, Lyrik",Tochter von Zeus und Mnemosyne,Erfand den Aulos (Flöte),"Fröhlich, musikalisch"
Melpomene,Muse,Tragödie,Tochter von Zeus und Mnemosyne,Mutter einiger Sirenen,"Ernst, tragisch"
Polyhymnia,Muse,"Hymnen, Pantomime",Tochter von Zeus und Mnemosyne,Erfand die Leier,"Nachdenklich, still"
Terpsichore,Muse,Tanz,Tochter von Zeus und Mnemosyne,Mutter der Sirenen (Variante),"Lebhaft, rhythmisch"
Thalia,Muse,Komödie,Tochter von Zeus und Mnemosyne,Inspirierte ländliche Poesie,"Heiter, spöttisch"
Urania,Muse,Astronomie,Tochter von Zeus und Mnemosyne,Zeigt Position der Sterne,"Erhaben, himmlisch"
Klotho,Moire,Schicksalsfaden spinnen,Tochter von Zeus und Themis,Entscheidet wann Leben beginnt,"Unerbittlich, ordnend"
Lachesis,Moire,Schicksalsfaden bemessen,Tochter von Zeus und Themis,Bestimmt Lebenslänge,"Neutral, kalkulierend"
Atropos,Moire,Schicksalsfaden durchschneiden,Tochter von Zeus und Themis,Bringt den Tod,"Gefürchtet, absolut"
Alekto,Erinye,Unaufhörlicher Zorn,Aus Blut des Uranos,Verfolgte Orestes,"Rachsüchtig, wütend"
Megaira,Erinye,"Neid, Eifersucht",Aus Blut des Uranos,Bestraft Ehebrecher,"Missgünstig, strafend"
Tisiphone,Erinye,Mordvergeltung,Aus Blut des Uranos,Bewacht das Tor zum Tartaros,Grausam zu Mördern
Aglaia,Charis,"Glanz, Pracht",Tochter von Zeus und Eurynome,Zweite Frau des Hephaistos,"Strahlend, freundlich"
Euphrosyne,Charis,Frohsinn,Tochter von Zeus und Eurynome,Begleitet Aphrodite,"Heiter, freudig"
Thalia-Charis,Charis,"Fülle, Blüte",Tochter von Zeus und Eurynome,Tanzt mit Musen auf Olymp,Anmutig
Eunomia,Hore,Gute Gesetzgebung,Tochter von Zeus und Themis,Erhält staatliche Ordnung,"Strukturiert, ordnend"
Dike,Hore,Gerechtigkeit,Tochter von Zeus und Themis,Berichtet Zeus von Ungerechtigkeit,"Streng, unbestechlich"
Eirene,Hore,Frieden,Tochter von Zeus und Themis,Bringt Wohlstand,Friedfertig
Thallo,Hore,"Frühling, Knospen",Tochter von Zeus und Themis,Schützt die sprossende Saat,Nährend
Auxo,Hore,Wachstum,Tochter von Zeus und Themis,Fördert das Pflanzenwachstum,Lebensspendend
Karpo,Hore,"Ernte, Früchte",Tochter von Zeus und Themis,Begleitet Apollon und Aphrodite,Vollendend
Medusa,Gorgone,Versteinernder Blick,Tochter von Phorkys und Keto,Von Perseus enthauptet,"Verflucht, tragisch"
Stheno,Gorgone,Mächtige,Tochter von Phorkys und Keto,Tötete viele Menschen,"Unsterblich, grausam"
Euryale,Gorgone,Weitspringende,Tochter von Phorkys und Keto,Trauerte um Medusa mit Schreien,"Unsterblich, klagend"
Deino,Graie,Schrecken,Tochter von Phorkys und Keto,Teilte sich ein Auge mit Schwestern,"Gruselig, blind"
Enyo (Graie),Graie,Kriegerisch,Tochter von Phorkys und Keto,Wurde von Perseus erpresst,Widerwillig
Pemphredo,Graie,Alarm,Tochter von Phorkys und Keto,Bewachte Weg zu Gorgonen,Wachsam
Styx,Flussgöttin,"Hass, Eidfluss",Tochter von Oceanus,Zeus schwor unbrechbare Eide auf sie,"Mächtig, gefürchtet"
Acheron,Flussgott,Leid,Sohn von Oceanus,Charon fährt über ihn,Trübsinnig
Lethe,Flussgöttin,Vergessen,Tochter der Nyx,"Seelen trinken, um früheres Leben zu vergessen","Löschend, neutral"
Phlegethon,Flussgott,Feuer,Sohn von Oceanus,Fließt durch Tartaros,"Heiß, strafend"
Kokytos,Flussgott,Wehklagen,Sohn von Oceanus,Fließt durch Unterwelt,"Klagend, eiskalt"
Hygieia,Heilgöttin,"Gesundheit, Reinheit",Tochter von Asklepios,Begleitet Asklepios,"Sauber, heilend"
Panakeia,Heilgöttin,Allheilmittel,Tochter von Asklepios,Besitzt Trank zur Heilung aller Krankheiten,"Sorgend, mächtig"
Iaso,Heilgöttin,Genesung,Tochter von Asklepios,Fördert Heilungsprozesse,"Sanft, tröstend"
Aigle,Heilgöttin,Strahlende Gesundheit,Tochter von Asklepios,Personifikation des gesunden Glanzes,Strahlend
Epione,Heilgöttin,Linderung,Ehefrau von Asklepios,Lindert Schmerzen,Tröstend
Anteros,Liebesgott,"Gegenliebe, Rächer der Verschmähten",Sohn von Ares und Aphrodite,Rächt unerwiderte Liebe,"Gerecht, leidenschaftlich"
Himeros,Liebesgott,Heißes Verlangen,Sohn von Ares und Aphrodite,Begleitete Aphrodite bei Geburt,Ungestüm
Pothos,Liebesgott,Sehnsucht,Sohn von Ares und Aphrodite,Teil des Gefolges der Aphrodite,Schmachtend
Hedylogos,Liebesgott,Schmeichelei,Sohn von Ares und Aphrodite,Zieht Wagen der Aphrodite,Süßholzraspelnd
Thetis,Nereide,Anführerin der Nereiden,Tochter von Nereus und Doris,Mutter von Achilleus,"Beschützend, verzweifelt um Sohn"
Galateia,Nereide,Milchweiße,Tochter von Nereus und Doris,"Liebte Akis, floh vor Polyphem","Sanft, flüchtig"
Psamathe,Nereide,Sandstrand,Tochter von Nereus und Doris,Mutter von Phokos,Transformierte in Robbe
Doris,Okeanide,Reichtum des Meeres,Tochter von Oceanus,Mutter der 50 Nereiden,"Fruchtbar, mütterlich"
Klymene,Okeanide,Ruhm,Tochter von Oceanus,Mutter von Prometheus und Atlas,Leidend wegen Söhnen
Arethusa,Nereide/Nymphe,Quellen,Tochter von Nereus (oder Oceanus),"Floh vor Alpheios, in Quelle verwandelt","Flüchtig, rein"
Aergia,Personifikation,Faulheit,Tochter von Aither und Gaia,Bewacht den Hof des Hypnos,"Träge, schläfrig"
Aidos,Personifikation,"Scham, Respekt",Tochter von Prometheus,Verließ die Erde im Eisernen Zeitalter,"Sittsam, enttäuscht"
Alala,Personifikation,Kriegsgeschrei,Tochter von Polemos,Begleitet Ares in die Schlacht,"Laut, kriegerisch"
Alastor,Personifikation,Blutrache,Sohn der Nyx,Verfolgt Familienmörder,Gnadenlos
Amechania,Personifikation,Hilflosigkeit,Gefährtin von Penia,Plagt die Armen,Lähmend
Anaideia,Personifikation,Rücksichtslosigkeit,Gegensatz zu Aidos,Begleitet Hybris,"Frech, unverschämt"
Androktasiai,Personifikation,Gemetzel,Töchter der Eris,Auf Schlachtfeldern präsent,Grausam
Angelia,Personifikation,Botschaft,Tochter von Hermes,Überbringt Nachrichten,Schnell
Aporia,Personifikation,Ratlosigkeit,Begleiterin von Amechania,Führt zu Verzweiflung,Verwirrend
Arai,Personifikation,Flüche,Schwestern der Erinyen,Führen Flüche aus,Rachsüchtig
Arete,Personifikation,Tugend,Von Herakles am Scheideweg gewählt,"Verspricht harten Weg, aber Ruhm","Erhaben, streng"
Ate,Personifikation,"Verblendung, Ruin",Tochter von Zeus oder Eris,Wurde von Zeus vom Olymp geworfen,"Verwirrend, schädlich"
Dysnomia,Personifikation,Gesetzlosigkeit,Tochter der Eris,Begleitet Ate,Rebellisch
Eireisone,Personifikation,Erntesegen,Personifizierter Olivenzweig,Wird bei Festen getragen,"Festlich, nährend"
Ekecheiria,Personifikation,Waffenstillstand,Verheiratet mit Olympischen Spielen,Stoppt Kriege für Sport,Friedenstiftend
Eleos,Personifikation,Mitleid,Hat Altar in Athen,Gewährt Flüchtlingen Asyl,Barmherzig
Elpis,Personifikation,Hoffnung,Befand sich in Pandoras Büchse,Blieb als einzige bei den Menschen,"Tröstend, ausdauernd"
Enyo,Göttin,Kriegsherrin,Tochter von Zeus und Hera,Wütet mit Ares,"Blutrünstig, unerbittlich"
Epiales,Personifikation,Alpträume,Sohn der Nyx,Plagt Schlafende,Gruselig
Epiphron,Personifikation,Umsicht,Sohn von Erebos und Nyx,Sorgt für Vorsicht,Besonnen
Eukleia,Personifikation,Guter Ruf,Tochter von Hephaistos und Aglaia,Wird von Bräuten geehrt,Ehrenhaft
Eulabeia,Personifikation,"Vorsicht, Diskretion",Gegensatz zu Hybris,Berät Götter,Umsichtig
Eupheme,Personifikation,Gutes Omen,Begleiterin der Musen,Fördert positive Worte,Unterstützend
Eusebeia,Personifikation,Frömmigkeit,Begleiterin von Dike,Fördert Respekt vor Göttern,Andächtig
Euthenia,Personifikation,Wohlstand,Tochter von Hephaistos und Aglaia,Erscheint mit Demeter,Üppig
Hedone,Personifikation,"Lust, Genuss",Tochter von Eros und Psyche,Später verehrt als römisches Voluptas,Sinnlich
Heimarmene,Personifikation,Zwangsläufiges Schicksal,Schwester der Moiren,Bringt unausweichliche Ereignisse,Unbeugsam
Homonoia,Personifikation,Eintracht im Staat,Tochter von Praxidike,Verhindert Bürgerkrieg,Einigend
Horkos,Personifikation,Eid,Sohn der Eris,Bestraft Meineidige gnadenlos,"Streng, strafend"
Horme,Personifikation,Tatendrang,Treibt Menschen an,Kann zu Übermut führen,Energiegeladen
Hybris,Personifikation,Hochmut,Mutter von Koros,Provoziert göttlichen Zorn,"Arrogant, überheblich"
Keres,Personifikation,Todesgeschicke,Töchter der Nyx,Trinken Blut der Gefallenen,"Grausam, todbringend"
Koalemos,Personifikation,Dummheit,Begleiter von Ate,Führt Menschen in Fehler,Einfältig
Kydoimos,Personifikation,Schlachtlärm,Gefolge des Ares,Verwirrt Krieger,"Laut, chaotisch"
Limos,Personifikation,Hunger,Tochter der Eris,Gegenspielerin von Demeter,Auszehrend
Litae,Personifikation,"Gebete, Bitten",Töchter von Zeus,Folgen Ate und reparieren Schaden,"Sanft, heilend"
Lyssa,Personifikation,"Tollwut, blinde Wut",Tochter der Nyx,Trieb Herakles in den Wahnsinn,Unkontrollierbar
Machai,Personifikation,Schlachten,Töchter der Eris,Kämpfen neben Ares,Kriegerisch
Mania,Personifikation,Wahnsinn,Eng verwandt mit Lyssa,Bringt geistige Verwirrung,Irrational
Moira,Personifikation,Das Schicksal (Singular),Oft über den Göttern stehend,Zeus unterwirft sich ihr oft,Übermächtig
Moros,Personifikation,Verhängnis,Sohn der Nyx,Bringt das unvermeidliche Ende,Unabwendbar
Neikea,Personifikation,Zankereien,Töchter der Eris,Verursachen kleine Streits,"Nervig, störend"
Nomos,Personifikation,Gesetz,Ehemann von Eusebeia,Ordnet das Zusammenleben,"Streng, regulierend"
Olethros,Personifikation,Verderben,Begleiter von Keres,Zerstört Städte,Zerstörerisch
Palioxis,Personifikation,Rückzug im Kampf,Begleitet Flucht auf dem Schild,"Feige, panisch",
Peitho,Personifikation,Überredung,Begleiterin von Aphrodite,Half bei Verführung der Helena,"Rhetorisch, charmant"
Penia,Personifikation,Armut,Mutter von Eros (laut Platon),Treibt Menschen zur Arbeit,Entbehrend
Penthos,Personifikation,Trauer,Nachfahre der Nyx,Begleitet Beerdigungen,"Traurig, klagend"
Pheme,Personifikation,"Gerücht, Ruhm",Tochter von Gaia,Hat unzählige Augen und Zungen,"Geschwätzig, unkontrollierbar"
Philophrosyne,Personifikation,Freundlichkeit,Tochter von Hephaistos und Aglaia,Begleitet die Chariten,"Sanft, einladend"
Phonoi,Personifikation,Morde,Töchter der Eris,Begleiten Ares,Blutrünstig
Phrike,Personifikation,Schauder,Begleitet Phobos,Lässt Krieger erstarren,"Kalt, erschreckend"
Pistis,Personifikation,Vertrauen,Pendant zur römischen Fides,Bewahrt Verträge,Verlässlich
Poine,Personifikation,Vergeltungsstrafe,Begleiterin der Nemesis,Vollstreckt Urteile,Strafend
Polemos,Personifikation,Der Krieg,Ehemann von Enyo,Vater von Alala,Aggressiv
Ponos,Personifikation,Harte Arbeit,Sohn der Eris,Gegensatz zu Aergia,"Erschöpfend, fleißig"
Poros,Personifikation,"Reichtum, Findigkeit",Vater von Eros (Platon),Verführt von Penia im Rausch,Erfinderisch
Proioxis,Personifikation,Vorstürmen im Kampf,Gegensatz zu Palioxis,Treibt Krieger an,"Mutig, aggressiv"
Ptokheia,Personifikation,Bettelei,Schwester von Penia,Wird verachtet,Demütig
Sophrosyne,Personifikation,Mäßigung,Verließ Erde mit Aidos,Bewahrt vor Hybris,Ausgeglichen
Soter,Personifikation,Rettung (männlich),Oft Beiname von Zeus,Erscheint in höchster Not,Errettend
Soteria,Personifikation,Rettung (weiblich),Ehefrau von Soter,Schützt Städte,Schützend
Thrasos,Personifikation,Verwegenheit,Führt oft zu Ruin,Übertriebener Mut,Leichtsinnig
Aisa,Personifikation,Das Los,Ähnlich den Moiren,Bestimmt Lebensanteil,Gerecht
Phantasos,Unterweltgott,Surreale Träume,Sohn von Hypnos,Nimmt Form unbelebter Objekte an,"Kreativ, bizarr"
Phobetor,Unterweltgott,Alpträume (Tiere),Sohn von Hypnos,Erscheint als wildes Tier,Erschreckend
Kabeiroi,Minor,Mysterien-Götter,Söhne von Hephaistos,"Beschützen Seeleute, Mysterienkulte","Geheimnisvoll, hilfreich"
Daktylen,Minor,Metallurgie,Von Rhea auf dem Ida geboren,Erfanden Eisenverarbeitung,"Geschickt, klein"
Telchinen,Minor,"Magie, Schmiede",Kinder von Thalassa,"Verflucht, weil sie das Wetter manipulierten","Bösartig, handwerklich begabt"
Aktaie,Nereide,Felsige Küste,Tochter von Nereus und Doris,Treibt in den Klippen,Wild
Autonoe,Nereide,Eigene Gedanken,Tochter von Nereus und Doris,Lebt im Meer,Unabhängig
Doto,Nereide,Sichere Seefahrt,Tochter von Nereus und Doris,Schützt Schiffe,Hilfreich
Eukrante,Nereide,Erfolgreiche Fahrt,Tochter von Nereus und Doris,Bringt Fische in Netze,Großzügig
Eudore,Nereide,Gute Gaben,Tochter von Nereus und Doris,Beschenkt Fischer,Wohlwollend
Galene,Nereide,Ruhige See,Tochter von Nereus und Doris,Beruhigt Stürme,"Sanft, friedlich"
Glauke,Nereide,Blaugrünes Wasser,Tochter von Nereus und Doris,Spiegelt das Meer wider,Schön
Halie,Nereide,Das Salzwasser,Tochter von Nereus und Doris,Essenz des Meeres,"Salzig, rein"
Kymo,Nereide,Wellen,Tochter von Nereus und Doris,Surft auf Wogen,Spielerisch
Nesaie,Nereide,Inseln,Tochter von Nereus und Doris,Schützt Eilande,"Isoliert, beschützend"
Panopeia,Nereide,Weite Aussicht,Tochter von Nereus und Doris,Beobachtet von Klippen,Wachsam
Pherousa,Nereide,Die Tragende,Tochter von Nereus und Doris,Hilft Booten über Wellen,Stark
Pontoporeia,Nereide,Meeresüberquerung,Tochter von Nereus und Doris,Schützt lange Seereisen,Ausdauernd
Pronoe,Nereide,Voraussicht,Tochter von Nereus und Doris,Warnt vor Stürmen,Klug
Sao,Nereide,Rettung,Tochter von Nereus und Doris,Rettet Ertrinkende,Barmherzig
Speio,Nereide,Meereshöhlen,Tochter von Nereus und Doris,Lebt in Grotten,Geheimnisvoll
Thaleia,Nereide,Blühendes Meer,Tochter von Nereus und Doris,Bringt Leben ins Meer,Lebhaft
Themisto,Nereide,Gesetz des Meeres,Tochter von Nereus und Doris,Straft Piraten,"Gerecht, streng"
Thoë,Nereide,Die Schnelle,Tochter von Nereus und Doris,Schwimmt rasant,Flink
Kymothoe,Nereide,Wellenläuferin,Tochter von Nereus und Doris,Treibt auf dem Schaum,Elegant
Alpheios,Flussgott,Fluss Alpheios,Sohn von Oceanus,Jagt Arethusa unter dem Meer,"Besessen, ausdauernd"
Skamandros,Flussgott,Fluss Skamandros,Sohn von Oceanus,"Kämpfte gegen Achilleus, von Hephaistos verbrannt","Zornig, heimatverbunden"
Acheloos,Flussgott,Fluss Acheloos,Sohn von Oceanus,Kämpfte als Stier gegen Herakles um Deianeira,"Mächtig, wandelbar"
Asopos,Flussgott,Fluss Asopos,Sohn von Oceanus,Zeus entführte seine Tochter Aigina,"Trauernd, machtlos gegen Zeus"
Inachos,Flussgott,Fluss Inachos,Sohn von Oceanus,"Vater der Io, trocknete aus",Verzweifelt
Kephisos,Flussgott,Fluss Kephisos,Sohn von Oceanus,Vater des Narziss,Sorgend
Peneios,Flussgott,Fluss Peneios,Sohn von Oceanus,"Vater der Daphne, verwandelte sie in Lorbeer","Schützend, traurig"
